tree_id,genus,species,dbh_dest_cm,height_dest_m,agb_dest_kg,wsg_ind_kg_m3,volume_total_dest_m3,volume_stem_dest_m3,dbh_tls_cm,height_tls_m,volume_total_reference_qsm_m3
1,Pentaclethra,macrophylla,34,24.9,358.3105718,377.534167,1.013191367,0.726815511,34.1,23.576,1.08240989
2,Triplochiton,scleroxylon,134.5,43.1,18407.35099,429.883333,46.23429946,24.7060564,120.9,52.892,48.86788748
3,Petersianthus,macrocarpus,48.5,25,1226.202463,507.908824,2.349678543,0.849876595,64.6,27.624,2.673410538
4,Pycnanthus,angolensis,14,9.7,26.284798,337.341818,0.074976103,0.053816082,11.2,8.794,0.089170001
5,Terminalia,superba,107,53,15836.77709,553.499333,28.96033207,15.87786584,104.3,51.458,29.44521628
6,Triplochiton,scleroxylon,165,57.5,37522.80806,458.812308,70.565688,29.62489934,165.5,49.773,76.75846086
7,Annickia,chlorantha,39.5,37.84,818.7740415,432.915714,1.890680379,1.50517342,35.6,35.506,2.116158391
8,Terminalia,superba,113.5,47.5,23654.39081,553.056667,41.88366383,12.37868585,112.6,49.179,35.12998968
11,Entandrophragma,cylindricum,17.75,15.6,109.8975531,527.326429,0.197721467,0.143541964,17.2,16.973,0.179057411
12,Triplochiton,scleroxylon,180.3,54.2,43939.24162,458.860769,92.85518422,36.10921097,186.6,52.851,98.01173148
15,Petersianthus,macrocarpus,44.3,35.6,1707.944255,513.376471,3.16679139,1.727147839,53.3,34.52,3.014942328
18,Terminalia,superba,70.5,44.5,5739.651291,511.575333,11.55601181,5.497262419,69,43.65,10.98241599
28,Petersianthus,macrocarpus,33.5,21.71,354.431195,541.573571,0.628963838,0.445194743,32.4,20.633,0.541055043
29,Baphia,leptobotrys,33.2,23.8,1343.793819,807.287647,1.618067531,0.28028316,33.3,16.573,1.110531044
31,Petersianthus,macrocarpus,74.5,43.3,5962.300635,588.698,10.05328312,4.198676575,56.9,42.72,9.002572234
32,Terminalia,superba,48.5,39.7,1989.37199,521.651765,3.966902611,2.041359419,50.6,38.4,3.582421084
52,Pycnanthus,angolensis,37,29.5,553.7022546,378.130588,1.510943246,0.893175827,36.6,29.859,1.286476139
54,Mansonia,altissima,25.3,22.9,275.1388187,491.44,0.544868033,0.345166729,24.9,22.313,0.518817059
55,Triplochiton,scleroxylon,26.8,24.2,317.4654672,360.867857,0.895639839,0.594181075,25.4,27.487,0.849716412
57,Erythrophleum,suaveolens,98.8,36.8,11859.774,736.309231,16.29815045,10.11414787,101.3,34.945,17.90790437
59,Terminalia,superba,13,16.5,51.97969192,398.478571,0.123978987,0.069979259,12.52,16.27,0.179430172
60,Erythrophleum,suaveolens,120.5,44.5,26846.57998,785.673571,34.6133393,14.28542263,119.6,46.907,34.5806896
61,Cylicodiscus,gabunensis,13.5,17.42,88.0738972,579.47,0.169082185,0.114209629,13.3,17.608,0.130043862
62,Cylicodiscus,gabunensis,27,26.8,531.2305837,613.583571,0.8311287,0.606754637,26.7,26.499,0.875371836
63,Cylicodiscus,gabunensis,90.5,45.2,15510.33896,732.858462,20.73617688,11.27083807,116.6,43.684,21.27397851
64,Cylicodiscus,gabunensis,159.5,60.15,43945.34804,504.333529,87.81657193,25.93654195,161.3,53.624,67.38424293
65,Cylicodiscus,gabunensis,44.5,37,2027.076387,617.790588,3.650214716,1.901883166,43.7,34.573,3.264211062
66,Erythrophleum,suaveolens,61.5,28.25,3744.21461,685.531177,5.888525447,3.631108284,61.9,31.098,6.515259595
67,Eribroma,oblongum,100.8,56.2,17886.05228,612.16,28.18337612,8.201424372,105.6,46.594,26.85852268
68,Erythrophleum,suaveolens,22.1,27.2,361.0707988,812.520714,0.449829207,0.294387154,21.9,26.437,0.466374107
69,Duboscia,macrocarpa,26.5,17.3,358.7278866,518.15,0.677664493,0.088127628,26.3,17.027,0.582064488
70,Triplochiton,scleroxylon,96.3,49.8,10020.23835,444.504667,22.32094375,10.98102636,97.3,48.77,23.97088546
71,Annickia,chlorantha,21.8,24.25,280.4194784,438.735714,0.648457339,0.415667249,21.5,24.435,0.531050596
72,Annickia,chlorantha,11.3,13.05,39.9776479,417.693571,0.094574498,0.053491085,10.8,12.639,0.090537583
73,Pterocarpus,soyauxii,11.6,15.05,44.8047956,519.948571,0.084598785,0.051954031,11.1,12.409,0.102102768
74,Erythrophleum,suaveolens,51.3,36.2,3195.143955,673.886471,4.563482263,1.982042859,51.2,34.671,5.746630631
75,Pterocarpus,soyauxii,61,42.2,4448.802634,599.828824,7.516536544,4.998669208,60,43.406,7.811685027
76,Pycnanthus,angolensis,44,32.3,1011.021606,410.997059,2.51559292,1.930916987,43.1,32.496,2.755179214
79,Eribroma,oblongum,48.1,33.7,2033.110097,548.627059,3.950109023,2.456940335,44,33.358,3.735399313
